Special_Name,Old_Name,Parliament
Tengku Razaleigh Hamzah,Tengku Razaleigh Hamzah,Gua Musang
Tengku Zulpuri Shah Raja Puji,Tengku Zulpuri Shah Raja Puji,Raub
Teo Nie Ching,Teo Nie Ching,Kulai
Teresa Kok Suh Sim,Teresa Kok Suh Sim,Seputeh
Ti Lian Ker,Ti Lian Ker,Senator
Tiong King Sing,Tiong King Sing,Bintulu
Tony Pua Kiam Wee,Tony Pua Kiam Wee,Damansara
Tuan Ibrahim Tuan Man,Tuan Ibrahim Tuan Man,Kubang Kerian
Ugak Kumbong,Wilson Ugak Kumbong,Hulu Rajang
Vivian Wong Shir Yee,Vivian Wong Shir Yee,Sandakan
Wan Ahmad Fayhsal Wan Ahmad Kamal,Wan Ahmad Fayhsal Wan Ahmad Kamal,Senator
Wan Azizah Wan Ismail,Wan Azizah Wan Ismail,Pandan
Wan Hassan Mohd Ramli,Wan Hassan Mohd Ramli,Dungun
Wan Junaidi Tuanku Jaafar,Wan Junaidi Tuanku Jaafar,Santubong
Waytha Moorthy Ponnusamy,Waytha Moorthy Ponnusamy,Senator
Wee Jeck Seng,Wee Jeck Seng,Tanjung Piai
Wee Ka Siong,Wee Ka Siong,Ayer Hitam
William Leong Jee Keen,William Leong Jee Keen,Selayang
Willie Mongin,Willie Mongin,Puncak Borneo
Wong Chen,Wong Chen,Subang
Wong Hon Wai,Wong Hon Wai,Bukit Bendera
Wong Kah Woh,Wong Kah Woh,Ipoh Timur
Wong Ling Biu,Wong Ling Biu,Sarikei
Wong Shu Qi,Wong Shu Qi,Kluang
Wong Tack,Wong Tack,Bentong
Wong Tien Fatt @ Wong Nyuk Foh,Wong Tien Fatt @ Wong Nyuk Foh,Sandakan
Xavier Jayakumar,Xavier Jayakumar Arulanandam,Kuala Langat
Yamani Hafez Musa,Yamani Hafez Musa,Sipitang
Yeo Bee Yin,Yeo Bee Yin,Bakri
Yusuf Abd Wahab,Yusuf Abd Wahab,Tanjong Manis
Zafrul Tengku Abdul Aziz,Zafrul Tengku Abdul Aziz,Senator
Zahidi Zainul Abidin,Zahidi Zainul Abidin,Padang Besar
Zakaria Mohd Edris @ Tubau,Zakaria Mohd Edris @ Tubau,Libaran
Zulkifli Mohamad Al-Bakri,Zulkifli Mohamad Al-Bakri,Senator
Zuraida Kamaruddin,Zuraida Kamaruddin,Ampang
Tuan Yang di-Pertua Speaker,Tuan Yang di-Pertua Speaker,Speaker
Beberapa Ahli,Beberapa Ahli,Lain-lain
